id,cycle_time_days,material_type,tool_wear_level,clean_room_pressure,layer_thickness_nm,chemical_concentration,etching_voltage,deposition_rate,humidity_level,photoresist_thickness_variation,etching_uniformity,particle_count,doping_concentration,product_defect
HV-90356,67,1,1,138,187.0,0,2,131,0,2.4,1,0.0,3.0,0
DE-88507,65,1,4,120,248.0,0,2,158,0,0.0,1,1.0,3.0,1
GD-12643,66,1,4,120,267.0,0,0,99,1,2.1,2,1.0,7.0,1
BP-75519,66,1,1,150,234.0,1,2,120,0,0.1,2,0.0,6.0,0
OT-96746,59,1,4,135,207.0,1,0,132,1,0.4,2,1.0,7.0,0
GV-51032,59,0,4,150,407.0,0,2,150,1,1.6,1,0.0,3.0,0
XF-09949,49,1,4,130,298.0,0,0,143,1,1.4,1,2.0,7.0,1
LT-36658,39,1,3,120,321.0,0,0,179,0,0.0,1,0.0,3.0,0
XG-22864,52,0,4,128,264.0,0,2,173,0,0.0,1,0.0,3.0,0
FM-52270,40,1,3,130,250.0,0,0,163,0,2.0,3,0.0,3.0,0
JV-79051,63,1,4,130,231.0,1,2,144,0,0.8,1,2.0,7.0,1
PG-09264,49,1,3,118,227.0,0,2,158,0,2.4,2,0.0,7.0,0
BB-91751,48,1,2,122,245.0,0,0,162,0,1.0,1,0.0,3.0,0
IP-50599,61,0,4,145,244.0,0,2,157,0,1.6,2,0.0,7.0,1
VH-12926,42,1,4,136,247.0,1,2,152,0,0.0,1,0.0,7.0,1
NT-87038,54,1,3,130,229.0,0,0,174,0,0.5,1,0.0,3.0,0
PK-38592,46,0,2,105,242.0,0,0,168,0,0.7,1,0.0,3.0,0
ML-11384,54,1,3,134,258.0,0,2,170,0,0.0,1,0.0,7.0,1
DN-23431,58,0,4,100,254.0,0,2,159,0,0.0,2,0.0,3.0,0
TO-23858,58,1,4,105,234.0,0,2,138,1,2.8,2,2.0,6.0,1
FT-27067,44,0,2,120,204.0,0,0,179,1,1.2,1,0.0,3.0,0
CO-72680,51,1,3,120,175.0,0,0,143,0,0.4,1,0.0,3.0,0
XK-92263,53,1,4,138,282.0,0,2,132,1,1.8,2,3.0,7.0,1
WV-85643,51,0,4,110,295.0,0,1,147,1,0.1,2,0.0,7.0,1
GQ-81645,42,1,4,102,197.0,0,2,130,0,1.2,2,0.0,3.0,0
UJ-27727,43,0,4,110,243.0,0,0,147,1,2.8,2,0.0,3.0,0
ZW-48059,45,0,2,120,141.0,0,0,156,0,0.0,1,0.0,3.0,1
IU-50465,53,1,4,140,282.0,0,2,145,1,0.0,1,,7.0,1
BC-76425,66,1,3,130,309.0,0,0,144,1,2.9,2,0.0,3.0,0
LP-12049,57,1,4,130,131.0,0,2,113,1,2.8,2,2.0,7.0,1
TU-94515,47,1,3,138,235.0,0,2,180,0,0.0,1,0.0,3.0,0
DN-31800,68,1,3,140,309.0,0,2,120,1,2.0,3,0.0,3.0,1
HS-24853,63,1,4,130,322.0,0,2,147,1,3.0,2,0.0,7.0,1
CT-80193,41,1,4,150,203.0,0,0,181,0,0.0,2,0.0,3.0,1
XQ-13098,57,1,4,150,249.0,0,2,111,1,1.0,2,3.0,3.0,1
BU-92880,62,0,4,140,294.0,0,2,165,0,0.0,1,1.0,,0
KX-36143,58,0,4,100,318.0,0,0,159,1,0.0,1,0.0,3.0,1
YI-42749,58,0,3,135,271.0,0,2,152,0,0.0,2,0.0,3.0,0
QJ-17481,58,1,2,105,335.0,0,1,157,0,0.0,1,0.0,7.0,0
VK-20701,50,0,4,125,209.0,0,0,182,0,1.4,1,0.0,3.0,1
IR-38968,60,1,4,148,273.0,0,0,161,1,0.6,1,2.0,7.0,1
OT-84970,43,0,3,138,213.0,0,0,179,0,0.0,1,0.0,3.0,0
WW-41047,34,1,4,120,231.0,0,0,114,0,0.0,1,0.0,7.0,0
LU-07263,46,1,3,130,253.0,0,2,173,1,0.5,2,1.0,7.0,1
ME-85390,52,0,3,128,216.0,1,2,126,0,1.1,2,0.0,7.0,1
MA-55493,42,1,4,140,309.0,0,2,147,1,0.4,2,0.0,7.0,1
XU-40887,46,1,4,120,169.0,0,0,185,0,0.0,1,0.0,7.0,0
ID-41777,51,1,3,100,175.0,0,0,126,0,2.0,2,0.0,6.0,1
AU-19566,53,0,4,142,409.0,0,2,154,0,0.8,1,0.0,3.0,0
IM-40495,35,0,4,118,183.0,0,0,130,0,1.2,2,0.0,3.0,0
JR-92348,46,1,4,110,275.0,0,2,120,1,1.2,2,,3.0,0
ET-05372,55,1,2,125,239.0,0,0,169,0,0.0,1,0.0,3.0,0
SG-02536,63,0,4,138,409.0,0,2,169,0,1.9,2,0.0,3.0,0
FQ-51406,53,0,3,136,319.0,0,0,153,0,0.0,1,0.0,3.0,1
UX-40497,54,1,3,138,258.0,1,2,171,0,0.0,1,2.0,3.0,0
MD-29732,45,1,4,142,247.0,0,2,181,0,0.0,1,0.0,3.0,0
NZ-07463,49,1,3,138,196.0,0,0,173,1,0.0,1,1.0,7.0,0
VG-22174,35,1,4,118,219.0,0,0,130,0,1.0,2,0.0,7.0,1
IG-15292,56,1,4,125,283.0,0,2,109,1,1.8,2,1.0,7.0,1
KK-02707,42,1,4,115,275.0,0,2,158,0,0.0,1,0.0,3.0,0
IA-72170,37,0,2,112,213.0,0,0,182,0,0.0,1,0.0,3.0,0
UK-44296,60,1,4,140,206.0,1,2,130,1,1.4,2,1.0,6.0,1
PF-98713,43,1,4,110,233.0,0,2,148,1,1.5,1,0.0,7.0,1
KD-95864,67,1,4,160,246.0,0,2,125,0,0.6,2,1.0,3.0,1
RJ-56540,62,0,4,140,409.0,0,2,154,0,0.8,2,0.0,3.0,0
ZJ-32778,64,1,4,120,212.0,0,0,140,1,0.4,1,0.0,7.0,1
AA-06661,68,0,3,106,302.0,0,2,96,0,1.5,1,0.0,3.0,0
AK-88635,46,1,4,130,309.0,0,0,120,1,3.2,2,0.0,7.0,1
OK-97736,56,1,4,120,249.0,0,0,126,1,3.0,2,1.0,3.0,1
XB-95729,62,0,3,120,248.0,0,0,131,0,1.1,2,3.0,7.0,1
RD-08244,48,0,3,130,303.0,0,2,149,0,0.0,1,0.0,3.0,0
QY-47513,47,0,2,105,254.0,0,2,178,0,0.0,1,0.0,3.0,0
XV-43427,57,1,4,150,184.0,0,0,160,1,3.1,2,2.0,7.0,1
NY-88577,53,1,4,140,201.0,0,2,168,0,1.6,1,0.0,7.0,1
KC-76068,47,0,4,138,294.0,0,2,161,0,0.0,1,0.0,3.0,0
XY-73078,42,1,2,120,325.0,0,1,182,0,0.6,1,0.0,3.0,0
LK-55736,43,1,4,140,247.0,0,0,152,0,1.4,2,0.0,7.0,1
KB-68071,46,0,4,120,236.0,0,0,118,1,2.0,3,0.0,7.0,1
NG-16641,54,0,4,110,219.0,0,0,130,1,0.1,1,0.0,3.0,1
ZJ-80837,41,1,4,140,198.0,0,0,186,0,0.0,1,0.0,3.0,1
YM-85156,51,0,3,94,178.0,0,0,158,0,1.6,2,0.0,3.0,0
TF-48939,59,1,1,120,284.0,0,2,130,0,2.6,3,0.0,7.0,0
AU-12488,51,1,4,130,261.0,0,2,150,0,0.0,2,1.0,7.0,0
RI-29334,46,0,2,120,234.0,0,0,152,1,0.0,2,0.0,3.0,0
HZ-39400,44,0,3,126,177.0,0,0,165,0,0.0,1,0.0,7.0,0
RT-36421,48,1,4,110,230.0,1,0,177,0,0.0,1,2.0,3.0,0
CZ-97567,37,1,3,130,250.0,0,2,187,0,3.2,2,0.0,3.0,0
RC-08686,57,1,4,132,249.0,0,0,126,1,3.6,2,0.0,3.0,0
KS-51405,60,1,1,150,218.0,1,0,150,0,0.9,2,2.0,6.0,1
PR-66048,58,1,4,125,258.0,0,2,144,1,1.4,2,1.0,7.0,1
RF-03295,62,0,4,124,209.0,0,0,169,1,0.6,1,1.0,3.0,0
SU-36219,60,1,4,140,253.0,0,0,138,1,2.2,2,0.0,7.0,1
ZC-88918,63,1,3,125,254.0,1,2,96,0,0.6,2,1.0,3.0,0
ML-41803,61,1,4,130,166.0,1,2,162,1,0.0,1,2.0,7.0,0
EJ-39788,53,1,4,140,204.0,1,0,160,0,3.1,1,3.0,7.0,0
MQ-22541,54,1,4,120,188.0,0,0,105,1,2.2,2,1.0,6.0,1
AS-49339,57,1,4,150,131.0,0,2,155,1,1.6,2,0.0,7.0,1
JP-10005,56,1,3,120,229.0,0,0,178,0,0.0,1,0.0,3.0,1
XR-42867,46,1,2,120,325.0,0,0,152,0,0.2,2,0.0,3.0,0
GM-29809,66,1,4,110,248.0,0,2,151,0,0.0,1,1.0,7.0,1
RE-85323,57,1,4,132,283.0,0,2,116,1,2.6,3,1.0,7.0,1
FF-35349,63,0,3,135,252.0,0,2,174,0,0.0,1,0.0,7.0,0
VO-43633,65,0,3,150,269.0,0,2,155,1,0.0,1,0.0,7.0,0
EO-20292,48,0,4,112,254.0,0,0,181,0,1.4,2,0.0,3.0,0
OO-29958,70,1,4,156,233.0,0,2,162,0,0.5,2,0.0,3.0,0
EH-27215,43,1,4,120,186.0,0,0,143,0,1.2,2,0.0,7.0,1
VR-86407,51,1,3,94,245.0,1,0,152,1,0.5,1,0.0,3.0,0
TD-79593,49,1,1,140,298.0,1,0,139,1,1.8,1,0.0,3.0,0
CW-20156,59,0,4,158,258.0,0,2,114,1,2.6,2,0.0,7.0,1
YJ-30936,60,0,4,145,234.0,0,0,154,1,1.4,2,0.0,3.0,0
QF-06930,46,1,4,110,230.0,0,0,159,0,0.0,1,,3.0,0
RQ-71965,50,0,2,134,288.0,0,0,153,0,0.0,1,0.0,,0
YS-50788,51,1,3,140,232.0,1,2,165,0,0.2,2,3.0,3.0,0
CE-13820,47,1,4,138,222.0,0,0,168,0,0.0,1,0.0,7.0,0
VA-95545,57,1,4,130,100.0,0,2,148,1,1.6,1,0.0,6.0,1
ZS-63712,55,1,3,160,211.0,1,2,164,0,0.0,1,1.0,3.0,0
EQ-19986,41,0,3,130,204.0,0,2,168,0,0.0,1,0.0,3.0,0
DS-19289,64,1,2,152,246.0,1,2,150,0,0.0,1,1.0,3.0,1
UU-28435,45,1,3,150,255.0,0,2,166,0,0.0,1,0.0,3.0,0
AA-62651,46,1,3,138,253.0,0,0,179,0,0.1,3,0.0,6.0,0
PS-22369,41,1,3,130,214.0,0,2,168,0,0.5,2,0.0,6.0,0
XZ-66876,67,1,4,120,237.0,0,2,162,0,0.0,1,1.0,7.0,0
FM-97328,55,1,2,120,295.0,0,1,156,0,0.6,1,2.0,3.0,0
VC-90410,46,0,2,134,177.0,0,1,163,0,1.4,1,1.0,3.0,0
XY-59831,58,1,4,105,318.0,0,0,140,0,1.8,2,3.0,6.0,1
JZ-95526,58,1,3,120,240.0,1,0,152,1,0.6,1,1.0,3.0,1
XR-21284,65,1,4,120,246.0,0,0,140,1,3.2,2,2.0,3.0,1
KZ-62122,62,0,3,102,254.0,0,2,96,0,1.1,2,2.0,3.0,0
UJ-38169,44,1,2,128,309.0,0,0,178,0,0.2,1,0.0,3.0,0
IE-26348,55,1,2,130,262.0,0,0,170,0,0.0,2,0.0,6.0,0
CP-82932,56,1,4,120,274.0,0,2,116,0,3.0,3,1.0,7.0,1
TY-16565,59,0,4,158,394.0,0,2,154,1,1.2,2,0.0,3.0,1
BL-21053,49,0,4,125,256.0,1,2,166,0,1.8,1,0.0,3.0,0
AI-22201,58,1,4,150,273.0,0,2,161,0,0.4,1,2.0,7.0,1
MD-99279,50,0,3,120,219.0,0,0,158,0,0.0,1,0.0,3.0,0
EO-92936,43,1,4,110,208.0,0,2,143,1,0.1,1,1.0,3.0,1
RU-57352,57,1,4,130,249.0,0,0,108,1,4.2,3,1.0,7.0,1
JC-91173,54,0,3,132,240.0,0,2,174,0,0.0,1,0.0,3.0,0
IE-94532,65,1,3,160,193.0,0,0,137,0,1.8,1,3.0,3.0,0
KH-66375,56,0,4,134,305.0,0,2,159,0,0.4,2,1.0,3.0,1
EE-11440,60,1,4,130,293.0,0,2,170,0,0.0,1,2.0,7.0,1
EM-68896,62,0,4,124,275.0,0,2,125,1,0.2,1,1.0,3.0,0
XD-98596,51,1,4,140,213.0,0,0,168,1,1.0,1,0.0,7.0,1
NH-42512,58,1,4,120,220.0,0,2,144,1,1.4,2,,7.0,1
SK-99024,58,1,3,128,224.0,0,2,158,0,1.6,1,0.0,3.0,0
ZB-86311,59,1,4,110,201.0,0,2,138,1,0.1,1,0.0,6.0,0
CI-26792,67,0,3,160,226.0,0,2,150,0,0.8,2,0.0,3.0,0
UN-88263,56,1,4,130,283.0,0,2,112,1,1.8,2,1.0,7.0,1
FY-99368,57,1,4,150,131.0,0,0,160,0,2.6,1,2.0,6.0,1
VM-85047,45,1,4,120,169.0,0,0,153,0,0.0,1,0.0,6.0,0
FJ-53009,66,0,4,155,228.0,0,2,143,0,0.8,2,0.0,3.0,0
MT-49602,65,1,3,128,254.0,1,2,121,1,2.0,2,2.0,7.0,1
QX-50878,58,1,2,100,335.0,0,0,141,0,1.4,1,0.0,7.0,0
RQ-81104,42,1,4,148,311.0,1,0,142,1,1.5,2,0.0,7.0,1
LU-99532,49,1,3,140,185.0,1,0,163,0,0.6,1,0.0,3.0,1
SO-47246,44,0,4,142,341.0,0,0,136,1,3.0,2,0.0,7.0,1
PN-36771,48,1,4,122,243.0,0,0,166,0,0.6,3,0.0,3.0,0
ET-25878,58,1,4,150,176.0,0,0,161,0,0.0,1,2.0,6.0,0
TQ-15559,55,1,2,130,353.0,0,0,149,0,0.0,2,0.0,3.0,0
AW-83947,43,0,3,105,199.0,0,0,170,0,0.0,1,0.0,3.0,0
LB-20746,76,0,3,115,197.0,0,0,151,0,0.6,1,1.0,3.0,0
ZE-56348,59,1,1,178,288.0,0,2,125,1,2.8,2,0.0,7.0,0
EZ-76622,54,0,4,138,407.0,0,2,169,1,1.9,2,2.0,3.0,1
RR-42571,54,1,4,140,239.0,0,2,144,1,0.1,2,0.0,7.0,1
JD-08033,34,1,4,126,167.0,0,2,178,0,0.2,1,1.0,3.0,1
GQ-55115,40,1,3,130,175.0,0,2,168,0,1.9,3,0.0,3.0,0
DY-37023,57,1,4,130,184.0,0,2,144,1,1.4,1,1.0,6.0,1
PR-61732,52,1,3,138,246.0,1,2,175,0,0.0,1,2.0,7.0,1
UR-33821,34,1,2,130,203.0,0,0,173,0,0.0,1,1.0,3.0,0
YS-94922,70,0,4,152,149.0,0,2,157,0,0.8,2,1.0,7.0,1
BG-54337,37,1,3,130,175.0,0,0,174,0,3.5,1,0.0,3.0,1
EY-83501,48,1,2,120,229.0,0,0,162,0,0.0,3,1.0,6.0,1
NU-73095,51,0,3,130,303.0,0,2,139,0,0.2,2,0.0,3.0,0
LD-41486,54,1,4,123,217.0,0,0,148,1,1.4,2,0.0,7.0,1
RA-35979,65,0,4,140,313.0,0,2,157,1,1.6,1,0.0,3.0,0
KI-44094,51,1,4,150,299.0,0,2,181,0,0.0,1,0.0,3.0,0
JD-24343,60,1,4,130,234.0,0,2,160,0,0.0,1,0.0,7.0,0
XV-25729,60,1,4,140,293.0,0,2,170,0,0.0,1,0.0,7.0,1
WU-63974,58,1,4,132,206.0,0,0,162,0,0.0,1,0.0,7.0,0
TF-73239,46,0,3,134,160.0,0,2,165,0,0.1,2,0.0,3.0,0
HU-46499,41,0,3,120,220.0,0,0,153,0,1.0,1,0.0,3.0,0
MH-47119,65,1,1,134,254.0,0,0,162,0,0.9,1,0.0,3.0,1
EP-17353,51,1,2,140,245.0,0,2,179,0,0.0,1,0.0,3.0,0
AK-88782,57,1,4,128,100.0,1,2,168,0,0.0,1,2.0,7.0,1
VZ-24485,62,1,2,120,248.0,0,2,146,0,0.0,2,1.0,3.0,1
VS-35330,44,1,4,110,233.0,0,2,185,0,0.0,1,0.0,3.0,0
YQ-05614,52,1,2,150,255.0,0,2,142,0,1.4,1,0.0,3.0,0
QH-21876,67,1,4,120,212.0,0,2,125,1,2.4,2,1.0,3.0,1
AH-46024,70,0,4,140,149.0,0,2,157,0,0.8,2,2.0,3.0,1
VM-77228,60,0,4,145,258.0,0,2,157,0,1.2,2,0.0,,1
UB-70426,47,1,3,124,226.0,0,2,154,0,0.5,2,0.0,7.0,0
EV-90150,67,1,2,120,246.0,0,2,103,0,0.2,2,0.0,7.0,0
NT-90930,41,1,3,130,214.0,0,2,182,0,0.0,1,0.0,3.0,0
KX-46210,63,0,3,120,244.0,0,0,144,0,0.0,1,0.0,3.0,0
EO-17240,47,1,4,122,274.0,0,2,152,1,0.0,2,0.0,3.0,0
JV-64501,70,1,2,160,286.0,0,2,162,0,0.0,1,0.0,7.0,0
YF-00199,59,1,1,120,220.0,0,2,160,0,0.2,2,0.0,3.0,0
RC-45153,50,1,4,140,261.0,0,2,166,0,0.2,3,0.0,7.0,1
PQ-36517,48,0,2,105,219.0,0,0,172,0,1.4,2,1.0,3.0,1
PY-70710,62,0,3,120,340.0,0,0,140,0,0.8,1,0.0,3.0,0
TM-99010,34,1,4,138,172.0,0,2,178,0,0.0,1,0.0,7.0,1
VV-55466,58,1,4,140,271.0,0,2,182,0,0.0,1,1.0,3.0,1
RP-58296,58,0,4,100,295.0,0,0,131,0,0.3,1,1.0,3.0,1
KL-85741,62,0,4,150,268.0,0,0,160,1,2.6,1,2.0,7.0,1
TY-63476,65,1,2,140,187.0,0,2,157,0,0.0,1,0.0,3.0,0
LW-73652,58,0,4,170,249.0,0,2,133,1,4.2,3,0.0,7.0,1
WW-07751,29,1,2,130,167.0,0,0,174,0,0.0,3,2.0,6.0,1
WY-48697,64,1,4,130,187.0,0,0,140,0,2.5,1,3.0,7.0,1
KL-78703,51,1,3,125,222.0,0,0,154,0,0.0,1,1.0,7.0,0
SC-07257,43,1,4,140,308.0,0,2,147,1,1.0,2,0.0,7.0,1
JX-49805,67,0,4,120,225.0,0,0,125,1,0.2,1,1.0,3.0,1
AW-83989,51,1,3,110,188.0,1,0,158,0,1.6,1,0.0,3.0,1
FZ-81320,58,1,4,112,239.0,0,2,131,0,1.0,2,3.0,6.0,1
GK-40701,62,1,4,128,254.0,0,2,127,0,1.8,1,2.0,7.0,1
ZD-88084,58,1,4,128,271.0,0,2,140,0,3.6,2,2.0,7.0,1
QX-20624,46,1,4,150,309.0,0,0,142,1,0.8,1,0.0,7.0,1
OT-78938,48,1,3,138,226.0,0,0,165,0,0.0,1,3.0,3.0,0
BV-06575,35,0,4,138,236.0,0,2,161,0,1.1,2,0.0,3.0,0
HI-17155,59,1,4,140,253.0,0,2,142,1,2.8,2,2.0,7.0,1
QB-83829,66,0,3,140,313.0,0,2,172,0,1.6,2,0.0,3.0,1
UV-40937,52,1,3,192,199.0,1,0,162,0,0.0,3,2.0,3.0,0
EF-10426,64,1,3,128,335.0,0,0,140,1,2.2,2,0.0,3.0,0
DT-05142,64,1,1,160,245.0,1,2,157,0,0.8,2,2.0,7.0,1
PD-55649,59,1,4,164,176.0,1,0,140,1,1.0,2,0.0,7.0,1
UB-94763,39,1,3,130,214.0,0,2,168,1,0.0,1,0.0,3.0,0
IO-10337,62,0,4,124,330.0,0,0,157,0,0.0,1,0.0,3.0,0
TG-68572,54,1,4,110,260.0,0,0,145,1,0.1,2,0.0,3.0,0
PJ-78812,45,0,2,126,160.0,0,0,172,0,0.6,1,0.0,3.0,0
XG-05044,45,1,2,128,247.0,0,0,162,0,0.2,1,0.0,3.0,0
NG-67164,56,1,2,132,240.0,1,2,174,0,0.0,1,1.0,3.0,0
PO-05750,58,1,2,100,318.0,0,0,170,0,0.8,2,2.0,7.0,0
IW-59859,58,1,3,120,224.0,0,0,143,1,2.0,2,1.0,7.0,1
ZY-52256,47,1,3,129,257.0,0,2,162,0,0.0,1,0.0,3.0,0
LD-61159,62,0,4,124,236.0,0,0,125,1,0.6,1,3.0,3.0,1
XM-08828,67,1,4,160,269.0,0,2,162,1,0.6,2,0.0,3.0,1
NF-32935,39,1,1,126,282.0,0,2,172,0,1.9,2,0.0,7.0,0
CL-08872,58,1,3,128,229.0,0,2,168,0,0.0,1,1.0,3.0,0
QL-74356,54,1,4,110,233.0,0,0,168,0,0.6,2,0.0,7.0,1
CN-09617,53,1,4,110,230.0,0,0,144,1,3.0,2,1.0,3.0,1
ZJ-49454,59,1,3,110,218.0,0,2,130,1,3.6,2,1.0,3.0,0
JB-75180,40,1,2,120,203.0,0,0,149,0,0.0,2,0.0,6.0,0
XJ-86901,58,0,4,170,201.0,1,1,133,1,1.0,2,0.0,3.0,1
HU-63564,58,1,4,128,293.0,0,2,171,0,0.0,1,3.0,7.0,0
DV-10312,66,1,4,135,254.0,0,2,132,0,0.0,2,1.0,7.0,1
YL-35917,48,1,3,118,257.0,0,2,160,0,0.2,1,0.0,7.0,0
MA-39823,55,1,4,120,186.0,0,0,108,1,2.2,2,1.0,6.0,1
WF-99094,53,1,2,192,289.0,0,2,178,0,0.0,2,,6.0,0
SM-07465,58,1,4,120,300.0,0,0,170,0,1.2,1,0.0,7.0,1
DZ-79720,51,1,3,130,245.0,0,2,173,1,0.5,1,0.0,3.0,0
QD-23648,62,1,4,128,254.0,0,2,132,1,5.6,3,3.0,7.0,1
QP-17305,48,1,4,110,239.0,0,0,147,1,1.8,2,0.0,3.0,1
SE-91683,51,1,4,125,222.0,0,0,178,0,1.0,2,2.0,3.0,1
NM-58765,44,0,4,142,236.0,0,2,98,0,0.0,2,0.0,3.0,0
DN-64233,64,0,4,150,269.0,0,0,146,0,1.4,1,0.0,3.0,1
QK-27872,58,1,2,105,239.0,0,0,162,0,0.0,1,2.0,3.0,0
FJ-57773,50,1,3,138,222.0,0,2,163,0,0.1,2,2.0,6.0,1
LC-18490,37,1,3,140,250.0,0,0,192,0,0.0,1,0.0,3.0,0
BZ-94615,51,1,4,110,290.0,0,2,177,0,0.2,2,3.0,7.0,1
EV-73213,41,1,4,140,172.0,0,0,182,0,0.0,1,0.0,3.0,0
RJ-20777,56,1,2,130,221.0,0,2,160,1,0.0,1,0.0,7.0,0
JZ-97515,63,1,4,140,208.0,0,2,158,0,0.0,1,0.0,7.0,0
OJ-95356,59,1,4,170,270.0,0,2,140,0,1.0,2,0.0,7.0,1
RE-92682,45,1,1,110,275.0,0,2,160,0,2.3,2,0.0,7.0,0
EB-85039,44,1,4,142,309.0,1,0,120,1,2.8,2,0.0,6.0,1
OH-98953,50,0,4,110,248.0,0,2,161,0,1.1,2,1.0,3.0,1
YV-95531,65,1,2,140,231.0,0,0,145,0,0.0,2,0.0,6.0,0
AO-07924,56,1,1,170,326.0,1,2,162,0,1.9,2,0.0,7.0,0
RM-40856,56,1,4,132,131.0,0,2,168,0,0.0,1,2.0,6.0,1
WJ-72376,52,1,2,138,201.0,0,0,173,0,0.0,1,2.0,3.0,0
LG-14099,52,1,4,125,212.0,0,0,178,0,0.0,1,0.0,3.0,0
LF-28553,71,0,4,115,265.0,0,0,125,1,0.0,2,1.0,3.0,1
SI-65696,58,0,2,120,244.0,0,0,152,0,0.0,2,1.0,7.0,1
DB-47647,44,1,3,150,255.0,0,2,182,1,0.0,1,0.0,3.0,0
KF-67955,45,1,4,142,309.0,0,0,147,1,1.4,1,0.0,7.0,1
WJ-67879,57,1,4,110,239.0,0,0,144,1,1.8,1,1.0,7.0,1
PZ-21785,70,1,2,125,231.0,0,0,121,0,0.0,2,1.0,3.0,0
SQ-47063,56,1,1,178,270.0,0,2,163,0,1.0,1,0.0,3.0,1
NT-86265,59,0,4,158,268.0,0,0,146,0,1.4,2,1.0,3.0,1
CQ-31737,68,1,3,118,248.0,1,0,146,0,2.0,2,1.0,7.0,1
NV-49836,43,0,2,118,215.0,0,0,194,0,0.0,1,0.0,3.0,0
AT-75370,70,1,3,140,304.0,0,2,131,1,0.4,2,3.0,3.0,0
BI-04785,58,0,3,120,219.0,0,0,158,1,1.6,2,0.0,7.0,1
IG-79329,42,0,3,138,209.0,0,0,163,0,0.1,1,0.0,3.0,0
QT-02542,63,0,4,140,268.0,0,0,145,0,2.6,2,2.0,3.0,0
DL-15557,54,0,3,128,330.0,0,0,160,0,0.2,3,0.0,3.0,0
KQ-46089,54,1,1,130,262.0,1,2,155,0,1.9,1,0.0,3.0,1
ZP-46349,59,1,4,150,273.0,0,2,105,1,0.1,1,1.0,7.0,1
LK-94417,45,1,4,110,303.0,0,0,118,1,1.2,2,0.0,7.0,1
AY-29440,55,1,1,160,266.0,1,2,195,0,1.4,2,0.0,7.0,1
JS-91271,60,0,2,145,288.0,0,2,150,0,2.6,2,0.0,6.0,0
DB-65807,43,0,2,105,215.0,0,0,179,0,0.6,3,0.0,7.0,1
EN-29896,58,1,2,128,271.0,0,0,157,0,0.0,1,1.0,3.0,0
